Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ224626.5+201728,341.6105,20.2912,1988.916,10.4,-57.0,18.358,18.291,18.002,166.9,45.9,11.7,1.0,157.2,43.2,11.9,0.0
SSSJ224644.6-165955,341.6858,-16.9986,1983.567,29.2,-48.6,18.633,18.225,18.109,125.7,33.8,12.7,1.0,124.7,33.5,12.8,0.0
SSSJ224646.6+025343,341.6942,2.8953,1991.772,-98.8,-74.4,16.525,16.57,16.762,128.9,75.7,9.4,1.0,133.4,78.4,9.5,0.0
SSSJ224648.5-652018,341.702,-65.3382,1989.958,54.3,-17.0,18.996,18.784,18.607,195.5,52.7,12.1,1.0,187.3,50.5,12.2,0.0
SSSJ224651.4-581752,341.714,-58.2977,1986.817,76.1,14.0,19.627,19.225,18.748,146.8,53.8,13.3,1.0,147.9,54.2,13.4,0.0
SSSJ224653.7-385648,341.7237,-38.9468,1990.725,-62.0,-132.6,16.448,16.25,16.085,62.5,43.2,12.0,1.0,59.4,41.1,12.1,0.0
SSSJ224657.5+785507,341.7395,78.9185,1989.174,-50.1,-43.1,18.241,18.587,18.62,442.9,138.7,7.4,1.0,446.9,139.9,7.0,0.0
SSSJ224701.1-251232,341.7547,-25.209,1995.793,-72.1,-62.2,19.47,18.263,17.73,45.8,20.6,15.2,0.49,55.4,24.9,14.9,0.51
SSSJ224701.6+175914,341.7566,17.9871,1988.54,17.9,64.5,19.063,18.686,18.599,166.2,52.8,12.5,1.0,162.8,51.7,12.6,0.0
SSSJ224718.5+230409,341.827,23.0692,1989.553,-43.4,30.2,18.621,18.15,17.923,102.8,25.8,13.1,1.0,103.3,25.9,13.2,0.0
SSSJ224718.6-243017,341.8273,-24.5048,1995.793,26.2,-117.6,19.724,18.926,18.767,116.0,66.0,13.9,1.0,116.8,66.5,13.9,0.0
SSSJ224718.8-382851,341.8284,-38.4809,1990.725,69.3,-51.9,17.6,17.391,17.467,131.9,54.4,11.4,1.0,122.4,50.5,11.6,0.0
SSSJ224726.1-261810,341.8588,-26.3027,1988.534,56.0,-34.2,18.72,18.271,17.781,89.6,27.9,13.5,1.0,90.2,28.0,13.6,0.0
SSSJ224727.3-520943,341.8636,-52.1619,1996.618,97.3,-74.3,20.199,19.559,19.141,148.9,86.1,13.8,1.0,150.6,87.1,13.9,0.0
SSSJ224733.0-475803,341.8877,-47.9675,1987.791,39.2,-51.2,19.224,18.904,18.509,147.5,45.1,13.0,1.0,147.6,45.1,13.0,0.0
SSSJ224735.3+314018,341.897,31.6717,1989.132,30.0,-36.8,18.429,18.33,18.41,224.4,50.5,10.8,1.0,213.0,47.9,11.0,0.0
SSSJ224753.1-000230,341.9713,-0.0417,1988.61,155.2,-55.6,18.992,18.485,18.208,111.3,87.0,13.3,1.0,112.0,87.6,13.4,0.0
SSSJ224810.1-504704,342.0422,-50.7846,1987.188,72.7,-24.5,19.319,18.949,19.094,232.6,84.5,11.9,1.0,218.6,79.4,12.1,0.0
SSSJ224812.5-602341,342.0523,-60.3947,1995.659,211.9,-112.8,19.098,17.948,17.424,41.8,47.6,15.0,0.52,49.4,56.2,14.8,0.48
SSSJ224822.3-265854,342.0931,-26.9816,1988.031,-48.5,-53.6,18.704,18.367,18.232,143.5,49.2,12.5,1.0,140.7,48.2,12.6,0.0
SSSJ224823.9+043640,342.0997,4.6112,1991.772,-44.6,-68.4,17.123,17.074,17.011,118.2,45.9,11.0,1.0,111.4,43.3,11.2,0.0
SSSJ224826.0+045033,342.1083,4.8424,1991.772,-87.8,-34.4,18.629,18.301,17.9,109.6,48.8,13.0,1.0,109.5,48.8,13.1,0.0
SSSJ224826.3+151540,342.1095,15.2611,1987.309,67.1,-11.0,17.419,17.841,18.041,621.4,200.2,2.9,1.0,320.8,103.4,7.0,0.0
SSSJ224833.7+722810,342.1403,72.4694,1987.385,-7.2,36.2,18.174,18.072,17.95,169.2,29.6,11.5,1.0,157.8,27.6,11.6,0.0
SSSJ224847.4+102626,342.1976,10.4405,1990.64,-46.3,-77.6,18.864,18.408,18.087,108.9,46.5,13.2,1.0,109.6,46.8,13.3,0.0
